"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","Prcp.Day","Prcp.Week","Tavg.Day","Tavg.Week","SampType","BodyCon","Year","SexTT"
394,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8,0,"N",142,1,1,0,0,61.1428571428571,-111,-123.857142857143,3,0.202909023416029,2019,"F.B"
395,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10.5,1,"N",151,1,1,0,0,61.1428571428571,-111,-123.857142857143,3,1.37578509746309,2019,"F.B"
396,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,0,"N",176,0,1,0,0,61.1428571428571,-111,-123.857142857143,3,-1.35150067597077,2019,"F.B"
397,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8,1,"N",184,1,0,0,0,61.1428571428571,-111,-123.857142857143,3,-0.539519567728588,2019,"F.B"
398,1,30,30,0,1,25,"NC","Sewall","Back","F","A",9.5,1,"N",40,0,1,0,0,11.2857142857143,-172,-106.571428571429,3,-1.10697567194557,2019,"F.B"
399,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,1,"N",45,0,1,0,0,11.2857142857143,-172,-106.571428571429,3,-2.0918328542348,2019,"F.B"
400,1,1,3,1,1,25,"NC","Sewall","Back","F","A",9.5,1,"N",54,1,1,0,0,11.2857142857143,-172,-106.571428571429,3,-1.84940426309019,2019,"F.B"
401,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,0,"N",60,1,1,0,0,11.2857142857143,-172,-106.571428571429,3,-2.0918328542348,2019,"F.B"
402,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,0,"N",66,0,1,0,0,11.2857142857143,-172,-106.571428571429,3,-1.34940426309019,2019,"F.B"
403,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10,1,"N",73,1,1,1,0,11.2857142857143,-172,-106.571428571429,3,-1.34940426309019,2019,"F.B"
404,1,30,30,0,1,25,"NC","Sewall","Back","F","J",7.5,1,"N",82,1,0,0,0,11.2857142857143,-172,-106.571428571429,3,-1.03742315484801,2019,"F.B"
405,1,30,30,0,1,25,"NC","Sewall","Back","F","A",11,1,"N",88,1,1,0,0,11.2857142857143,-172,-106.571428571429,3,0.393024328054431,2019,"F.B"
406,1,30,30,0,1,25,"NC","Sewall","Back","F","A",10.5,0,"N",95,0,1,1,0,11.2857142857143,-172,-106.571428571429,3,-0.106975671945569,2019,"F.B"
407,1,30,30,0,1,36,"NW","Brad St","Neck","F","A",9,1,"N",45,0.74468085106383,1,0,0,7.57142857142857,-165,-103.857142857143,1,-3.0892705718252,2019,"F.N"
408,1,30,30,0,1,36,"NW","Brad St","Back","F","J",8,1,"N",54,1,1,1,0,7.57142857142857,-165,-103.857142857143,3,-1.27728946358303,2019,"F.B"
409,1,30,30,0,1,36,"NW","Brad St","Back","F","J",7,1,"N",59,1,1,1,0,7.57142857142857,-165,-103.857142857143,3,-3.01971805472764,2019,"F.B"
410,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",66,1,1,0,0,7.57142857142857,-165,-103.857142857143,3,-1.86198479839135,2019,"F.B"
411,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",73,0,1,0,0,7.57142857142857,-165,-103.857142857143,0,-2.60441338953597,2019,"F.B"
412,1,30,30,0,1,36,"NW","Brad St","Back","F","A",9,0,"N",77,0,1,0,0,7.57142857142857,-165,-103.857142857143,3,-3.83169916296982,2019,"F.B"
413,1,10,15,1,1,36,"NW","Brad St","Back","F","A",7.5,1,"N",87,0,1,0,0,7.57142857142857,-165,-103.857142857143,3,-3.84684198068059,2019,"F.B"
414,1,30,30,0,1,36,"NW","Brad St","Neck","F","J",7.5,0,"N",99,1,0,0,0,7.57142857142857,-165,-103.857142857143,3,-1.77728946358303,2019,"F.N"
415,1,30,30,0,1,36,"NW","Brad St","Back","F","A",8,1,"N",103,0.74468085106383,0,1,0,7.57142857142857,-165,-103.857142857143,1,-4.0892705718252,2019,"F.B"
416,1,30,30,0,1,36,"NW","Brad St","Back","F","J",7.5,1,"N",111,0,1,0,0,7.57142857142857,-165,-103.857142857143,3,0.449996309850825,2019,"F.B"
417,1,30,30,0,1,36,"NW","Brad St","Back","F","J",6.5,0,"N",115,0,0,1,0,7.57142857142857,-165,-103.857142857143,3,0.192424900995443,2019,"F.B"
418,1,2,5,1,1,37,"NE","Euguly","Back","F","A",11,0,"N",30,1,1,0,277,52,-88,-75.4285714285714,3,-2.57389481934993,2019,"F.B"
419,1,5,12,1,1,37,"NE","Euguly","Back","F","J",5,1,"N",41,0.74468085106383,1,0,277,52,-88,-75.4285714285714,1,-3.5346279376739,2019,"F.B"
420,1,30,30,0,1,37,"NE","Euguly","Back","F","A",10,1,"N",50,0,0,0,277,52,-88,-75.4285714285714,3,-1.34660904591608,2019,"F.B"
421,1,19,27,1,1,37,"NE","Euguly","Back","F","A",9,1,"N",59,1,1,0,277,52,-88,-75.4285714285714,3,-2.34660904591608,2019,"F.B"
422,1,30,30,0,1,37,"NE","Euguly","Neck","F","A",9.5,1,"N",68,0.74468085106383,1,0,277,52,-88,-75.4285714285714,1,-2.5890376370607,2019,"F.N"
423,1,30,30,0,1,37,"NE","Euguly","Back","F","A",9,1,"N",77,1,0,0,277,52,-88,-75.4285714285714,3,-2.34660904591608,2019,"F.B"
427,1,2,5,1,1,58,"NC","Emera","Back","F","J",8,0,"N",90,0,0,1,0,36,-149,-112.428571428571,3,-0.529736307619213,2019,"F.B"
428,1,12,14,1,1,58,"NC","Emera","Back","F","A",10,0,"N",90,0.74468085106383,1,0,0,36,-149,-112.428571428571,1,0.143139766427842,2019,"F.B"
429,1,9,19,1,1,58,"NC","Emera","Neck","F","A",9,0,"N",105,0.74468085106383,1,0,0,36,-149,-112.428571428571,1,-2.34171741586139,2019,"F.N"
430,1,30,30,0,1,58,"NC","Emera","Neck","F","A",9,0,"N",105,0.74468085106383,1,0,0,36,-149,-112.428571428571,1,-0.856860233572158,2019,"F.N"
431,1,9,12,1,1,58,"NC","Emera","Back","F","J",7.5,0,"N",124,0.74468085106383,0,0,0,36,-149,-112.428571428571,1,0.455120874670021,2019,"F.B"
432,1,2,5,1,1,58,"NC","Emera","Back","F","J",7,0,"N",124,0.74468085106383,1,0,0,36,-149,-112.428571428571,1,-0.0448791253299788,2019,"F.B"
433,1,2,5,1,1,58,"NC","Emera","Back","F","A",9,0,"N",124,0.74468085106383,1,1,0,36,-149,-112.428571428571,0,-2.34171741586139,2019,"F.B"
434,1,30,30,0,1,70,"NE","Parker","Back","F","A",7,1,"N",61,0.74468085106383,1,0,0,17.7142857142857,-70,-17.8571428571429,2,-4.33892219868728,2019,"F.B"
435,1,30,30,0,1,70,"NE","Parker","Back","F","A",9.5,1,"N",80,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-3.32377938097652,2019,"F.B"
436,1,30,30,0,1,70,"NE","Parker","Back","F","J",5.5,0,"N",88,0,0,0,0,17.7142857142857,-70,-17.8571428571429,3,-3.02694109044511,2019,"F.B"
437,1,7,11,1,1,70,"NE","Parker","Neck","F","J",6,1,"N",96,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-2.52694109044511,2019,"F.N"
438,1,30,30,0,1,70,"NE","Parker","Back","F","A",8.5,1,"N",105,0.74468085106383,1,0,0,17.7142857142857,-70,-17.8571428571429,1,-6.55106515441037,2019,"F.B"
439,1,30,30,0,1,70,"NE","Parker","Neck","F","J",6,1,"N",113,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-4.75422686387896,2019,"F.N"
440,1,30,30,0,1,70,"NE","Parker","Neck","F","A",7,0,"N",119,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-7.45712228149468,2019,"F.N"
441,1,30,30,0,1,70,"NE","Parker","Back","F","J",7.5,0,"N",135,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-4.88756976439711,2019,"F.B"
442,1,30,30,0,1,70,"NE","Parker","Neck","F","A",8,0,"N",145,1,1,0,0,17.7142857142857,-70,-17.8571428571429,3,-4.0813507898319,2019,"F.N"
443,1,19,29,1,1,72,"NC","Davis Oil","Back","F","A",9,1,"N",50,0.74468085106383,1,0,0,17.7142857142857,-55,-27.5714285714286,1,-2.33845632915827,2019,"F.B"
444,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",9.5,0,"N",57,1,1,0,0,17.7142857142857,-55,-27.5714285714286,3,-3.17482779321858,2019,"F.B"
445,1,30,30,0,1,72,"NC","Davis Oil","Neck","F","A",11,1,"N",67,0.74468085106383,1,0,0,17.7142857142857,-55,-27.5714285714286,1,-1.8233135114475,2019,"F.N"
446,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10,1,"N",97,0.74468085106383,1,0,0,17.7142857142857,-55,-27.5714285714286,1,-1.18997061092934,2019,"F.B"
447,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10,0,"N",114,1,1,0,0,17.7142857142857,-55,-27.5714285714286,3,-1.63542776561611,2019,"F.B"
449,1,30,30,0,1,70,"NE","Parker","Back","F","A",8,0,"N",128,0.74468085106383,0,0,0,17.7142857142857,-70,-17.8571428571429,2,-3.19043648045836,2019,"F.B"
450,1,30,30,0,1,72,"NC","Davis Oil","Neck","F","A",9,1,"N",148,0.74468085106383,1,1,0,17.7142857142857,-55,-27.5714285714286,1,-2.33845632915827,2019,"F.N"
451,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",17,0,"N",77,1,1,0,10,1.42857142857143,-102,-63.4285714285714,3,1.41818539865677,2019,"M.N"
451,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",17,0,"N",77,1,1,0,10,1.42857142857143,-102,-63.4285714285714,3,1.41818539865677,2020,"M.N"
459,1,30,30,0,1,16,"NC","Roger's Farm","Back","M","J",12,1,"N",166,0.74468085106383,1,0,0,61.1428571428571,-111,-123.857142857143,2,-0.251662523451673,2019,"M.B"
460,1,30,30,0,1,30,"NC","Junkyard","Back","M","J",14,1,"N",30,0,0,1,0,9,-48,-91.5714285714286,3,1.00916997210684,2019,"M.B"
461,1,2,5,1,1,30,"NC","Junkyard","Back","M","J",11,1,"N",50,0.74468085106383,1,0,0,9,-48,-91.5714285714286,2,-2.73325861903778,2019,"M.B"
462,1,2,5,1,1,30,"NC","Junkyard","Back","M","J",10.5,1,"N",71,0,1,1,0,9,-48,-91.5714285714286,3,-3.9756872101824,2019,"M.B"
466,1,30,30,0,1,30,"NC","130 Stillwater","Back","M","A",17,0,"N",77,1,0,1,10,1.42857142857143,-102,-63.4285714285714,3,-1.24840143674855,2020,"M.B"
466,1,30,30,0,1,30,"NC","130 Stillwater","Back","M","A",17,0,"N",77,1,0,1,10,1.42857142857143,-102,-63.4285714285714,3,-1.24840143674855,2019,"M.B"
