"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","mtCDy","avgmtWk","pcpCDy","avgpcpWk"
522,1,30,30,0,1,27,"NE","Bradbury","Neck","M","A",15.5,0,"N",98,1,1,0,-3.28416669368744,-9.61414287771497,0,0
524,1,30,30,0,1,27,"NE","Bradbury","Neck","M","A",19,0,"N",98,0,0,0,-3.28416669368744,-9.61414287771497,0,0
532,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,0,1,0,-2.50711112552219,-6.26880953425453,0,2.65109524272737
535,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",17,0,"N",125,0,0,1,-2.50711112552219,-6.26880953425453,0,2.65109524272737
536,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16.5,1,"N",125,1,0,0,-2.50711112552219,-6.26880953425453,0,2.65109524272737
545,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,0,0,1,-2.50711112552219,-6.26880953425453,0,2.65109524272737
546,1,30,30,0,1,32,"S","Fernald Farm (Poland)","Neck","M","A",16,0,"N",125,1,1,1,-2.50711112552219,-6.26880953425453,0,2.65109524272737
549,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",14.5,0,"N",77,1,0,1,-13.6263332366943,-7.97833333696638,0,0.143238093171801
574,1,30,30,0,1,38,"NC","McAllister's","Neck","M","J",14.5,0,"N",26,1,1,1,-2.647000006267,-11.0236530644553,1.43728571278708,5.24346939155034
575,1,30,30,0,1,38,"NC","McAllister's","Neck","M","J",8.5,0,"N",15,1,0,1,-2.647000006267,-11.0236530644553,1.43728571278708,5.24346939155034
581,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",17.5,0,"N",111,0.74468085106383,1,0,-15.7201429094587,-6.60810208077333,0,1.99924491216162
582,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",19,0,"N",104,0.74468085106383,0,0,-15.7201429094587,-6.60810208077333,0,1.99924491216162
583,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","A",17,0,"N",94,0.74468085106383,0,0,-15.7201429094587,-6.60810208077333,0,1.99924491216162
585,1,30,30,0,1,68,"WMD 26","Winterport (Hodgman)","Neck","M","J",10,0,"N",61,0.74468085106383,0,0,-15.7201429094587,-6.60810208077333,0,1.99924491216162
616,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","A",17.5,0,"N",140,0.74468085106383,0,0,-11.52583360672,-13.2584048906962,0,6.02233325867426
617,1,20,27,1,1,40,"WMD 26","Monroe (Doak)","Neck","M","J",12,0,"N",140,0.74468085106383,0,0,-11.52583360672,-13.2584048906962,0,6.02233325867426
618,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","A",18,0,"N",140,0.74468085106383,0,0,-11.52583360672,-13.2584048906962,0,6.02233325867426
619,1,30,30,0,1,40,"WMD 26","Monroe (Doak)","Neck","M","J",11,0,"N",140,0.74468085106383,0,1,-11.52583360672,-13.2584048906962,0,6.02233325867426
623,1,30,30,0,1,49,"NW","Glenburn","Neck","M","A",19,0,"N",58,0.74468085106383,0.564593301435407,0.172248803827751,-16.5362003326416,-12.2017715862819,0.65220000743866,3.42557141695704
624,1,30,30,0,1,49,"NW","Glenburn","Neck","M","A",20,0,"N",58,0.74468085106383,0.564593301435407,0.172248803827751,-16.5362003326416,-12.2017715862819,0.65220000743866,3.42557141695704
625,1,10,10,1,1,50,"WMD 23","Monroe (Cunningham)","Neck","M","A",18,0,"N",67,0.74468085106383,1,0,-19.8666667938232,-11.7245952401842,0,3.82504759374119
633,1,30,30,0,1,50,"WMD 23","Monroe (Cunningham)","Neck","M","A",20,0,"N",145,0.74468085106383,1,0,-19.8666667938232,-11.7245952401842,0,3.82504759374119
636,1,30,30,0,1,52,"S","Gorham (DiagleFarm)","Neck","M","J",10.5,1,"N",58,0,1,0,-6.62662494182587,-10.9752856684583,0.125624999869615,3.29610713922219
637,1,30,30,0,1,52,"S","Gorham (DiagleFarm)","Neck","M","J",12,0,"N",82,0,0,0,-6.62662494182587,-10.9752856684583,0.125624999869615,3.29610713922219
638,1,30,30,0,1,52,"S","Gorham (DiagleFarm)","Neck","M","J",12.5,0,"N",97,0,0,0,-6.62662494182587,-10.9752856684583,0.125624999869615,3.29610713922219
640,1,1,6,1,1,52,"S","Gorham (DiagleFarm)","Neck","M","J",12,0,"N",116,0,0,1,-6.62662494182587,-10.9752856684583,0.125624999869615,3.29610713922219
751,1,19,29,1,1,72,"NC","Davis Oil","Neck","F","J",10.5,1,"N",170,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
752,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10.5,1,"N",160,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
754,1,30,30,0,1,72,"NC","Davis Oil","Back","F","A",10,0,"N",180,0.74468085106383,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
824,1,30,30,0,1,49,"NC","Newburgh","Back","F","A",10,0,"N",116,1,0,0,-14.4766667683919,-14.5542619568961,10.9281667073568,1.56116667247954
826,1,30,30,0,1,9,"NE","Martin","Back","F","A",10,0,"N",65,1,1,0,-13.4856667518616,-7.84969048734222,0,4.00728573117937
831,1,30,30,0,1,79,"NW","Day","Neck","F","J",7.5,1,"N",32,0.74468085106383,0,0,-7.1522855758667,-6.1309387720361,0,2.49973468391263
832,1,1,6,1,1,79,"NW","Day","Back","F","J",8.5,1,"N",42,1,1,0,-7.1522855758667,-6.1309387720361,0,2.49973468391263
833,1,30,30,0,1,79,"NW","Day","Back","F","A",10.5,0,"N",52,1,0,0,-7.1522855758667,-6.1309387720361,0,2.49973468391263
